Airport,Longitiude,Latitude
Adelaide,-34.947512,138.533393
Albury,-36.066758,146.959148
Alice Springs,-23.806588,133.903427
Ballina,-28.833236,153.561471
Brisbane,-27.38419914,153.1170044
Broome,-17.948789,122.227407
Cairns,-16.878921,145.74948
Canberra,-35.3069,149.195007
Coffs Harbour,-30.320601,153.115997
Darwin,-12.41497,130.88185
Devonport,-41.16970062,146.4299927
Dubbo,-32.21670151,148.5749969
Emerald,-23.56749916,148.1790009
Gladstone,-23.869763,151.225439
Gold Coast,-28.165962,153.506641
Hamilton Island,-20.35810089,148.9519959
Hobart,-42.8371,147.51295
Kalgoorlie,-30.791543,121.464586
Karratha,-20.71220016,116.7730026
Launceston,-41.544935,147.210785
Mackay,-21.170816,149.182588
Melbourne,-37.661548,144.836432
Mildura,-34.22919846,142.0859985
Mount Isa,-20.66638,139.488468
Newcastle,-32.79499817,151.8339996
Newman,-23.4178009,119.8030014
Perth,-31.94029999,115.9670029
Port Hedland,-20.37779999,118.6259995
Port Lincoln,-34.6053009,135.8800049
Port Macquarie,-31.43580055,152.8630066
Proserpine,-20.39912,148.5855
Rockhampton,-23.380019,150.475359
Sunshine Coast,-26.593324,153.08319
Sydney,-33.946098,151.177002
Townsville,-19.252904,146.766512
Wagga Wagga,-35.163484,147.46832
