Departing,arriving,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),Seats,Year
ALBURY,SYDNEY,Jan-24,10938,308,60.9,452,17969,2024
ADELAIDE,ALICE SPRINGS,Jan-24,7658,156,58.4,1316,13123,2024
ADELAIDE,BRISBANE,Jan-24,72443,730,75.7,1622,95758,2024
ADELAIDE,CANBERRA,Jan-24,11157,151,68,972,16419,2024
ADELAIDE,CAIRNS,Jan-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Jan-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Jan-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Jan-24,187761,1380,82.2,643,228339,2024
ADELAIDE,GOLD COAST,Jan-24,26581,170,83.1,1607,31998,2024
ADELAIDE,PERTH,Jan-24,58148,429,76.7,2120,75764,2024
ADELAIDE,PORT LINCOLN,Jan-24,13866,552,61.1,246,22677,2024
ADELAIDE,SYDNEY,Jan-24,157687,1218,78.3,1167,201448,2024
ARMIDALE,SYDNEY,Jan-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Jan-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Jan-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Jan-24,0,0,0,2022,0,2024
AYERS ROCK,SYDNEY,Jan-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Jan-24,8832,201,66.6,287,13254,2024
BROOME,PERTH,Jan-24,22222,224,68.9,1677,32240,2024
BRISBANE,CANBERRA,Jan-24,42870,476,74.9,956,57211,2024
BRISBANE,CAIRNS,Jan-24,90329,852,72.5,1391,124634,2024
BRISBANE,DARWIN,Jan-24,23717,249,74.4,2852,31874,2024
BRISBANE,EMERALD,Jan-24,13245,304,65,653,20392,2024
BRISBANE,GLADSTONE,Jan-24,15199,291,64.2,434,23692,2024
BRISBANE,HOBART,Jan-24,33297,257,76.9,1791,43292,2024
BRISBANE,HAMILTON ISLAND,Jan-24,12129,139,59.3,888,20440,2024
BRISBANE,MOUNT ISA,Jan-24,9650,174,50.3,1573,19172,2024
BRISBANE,LAUNCESTON,Jan-24,15334,118,78.1,1664,19636,2024
