"Route,Departing,Arriving,Airline,Month,Scheduled,Flown,Cancelled,OnTimeDeparture,OnTimeArrivals,DelayedDeparture,DelayedArrival,CancellationRate,LateDRate,LateARate",Departing,Arriving,Airline,Month,Scheduled,Flown,Cancelled,OTD,OTA,DD,DA
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Bonza,January,14,14,0,7,7,7,7
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Bonza,January,14,14,0,8,8,6,6
Melbourne-Mildura,Melbourne,Mildura,Bonza,January,9,9,0,2,3,7,6
Mildura-Melbourne,Mildura,Melbourne,Bonza,January,9,9,0,3,3,6,6
Gold Coast-Melbourne,Gold Coast,Melbourne,Bonza,January,17,17,0,15,12,2,5
Melbourne-Gold Coast,Melbourne,Gold Coast,Bonza,January,17,17,0,9,8,8,9
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,January,31,31,0,28,25,3,6
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,January,35,35,0,29,30,6,5
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,January,116,112,4,71,73,41,39
Adelaide-Perth,Adelaide,Perth,Jetstar,January,31,31,0,22,26,9,5
Adelaide-Sydney,Adelaide,Sydney,Jetstar,January,151,146,5,119,123,27,23
Ballina-Sydney,Ballina,Sydney,Jetstar,January,91,90,1,69,75,21,15
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,January,31,31,0,24,26,7,5
Brisbane-Cairns,Brisbane,Cairns,Jetstar,January,102,100,2,69,72,31,28
Brisbane-Canberra,Brisbane,Canberra,Jetstar,January,31,31,0,15,17,16,14
Brisbane-Darwin,Brisbane,Darwin,Jetstar,January,25,25,0,22,21,3,4
Brisbane-Hobart,Brisbane,Hobart,Jetstar,January,44,43,1,32,31,11,12
Brisbane-Launceston,Brisbane,Launceston,Jetstar,January,27,27,0,18,18,9,9
Brisbane-Mackay,Brisbane,Mackay,Jetstar,January,31,31,0,26,27,5,4
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,January,214,204,10,116,113,88,91
Brisbane-Newcastle,Brisbane,Newcastle,Jetstar,January,58,58,0,48,47,10,11
Brisbane-Perth,Brisbane,Perth,Jetstar,January,28,27,1,6,15,21,12
Brisbane-Proserpine,Brisbane,Proserpine,Jetstar,January,51,49,2,24,27,25,22
Brisbane-Sydney,Brisbane,Sydney,Jetstar,January,212,205,7,143,156,62,49
Brisbane-Townsville,Brisbane,Townsville,Jetstar,January,54,53,1,31,31,22,22
Cairns-Brisbane,Cairns,Brisbane,Jetstar,January,102,100,2,82,75,18,25
Cairns-Melbourne,Cairns,Melbourne,Jetstar,January,120,118,2,76,69,42,49
Cairns-Sydney,Cairns,Sydney,Jetstar,January,121,119,2,97,91,22,28
Canberra-Brisbane,Canberra,Brisbane,Jetstar,January,31,31,0,18,15,13,16
Canberra-Gold Coast,Canberra,Gold Coast,Jetstar,January,22,22,0,15,18,7,4
Canberra-Melbourne,Canberra,Melbourne,Jetstar,January,31,31,0,16,14,15,17
Darwin-Brisbane,Darwin,Brisbane,Jetstar,January,26,26,0,22,23,4,3
Darwin-Melbourne,Darwin,Melbourne,Jetstar,January,28,27,1,9,12,18,15
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,January,35,35,0,27,30,8,5
Gold Coast-Canberra,Gold Coast,Canberra,Jetstar,January,22,22,0,14,15,8,7
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,January,302,292,10,205,209,87,83
